#OTU ID	S1_18	S2_18	S3_18	S4_18	S5_18	S6_18	S7_18	S8_18	S9_18	S10_18	S11_18	S12_18	S13_18	S14_18	sum taxonomy
forward_16S_638	0	0	0	1	0	0	13	0	0	0	0	0	0	0	;;;;;
forward_16S_639	0	0	0	1	7	5	0	0	0	0	0	1	0	0	Verrucomicrobia;Spartobacteria;NA;NA;NA;bacterium Ellin507
forward_16S_640	0	0	0	0	14	0	0	0	0	0	0	0	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_641	0	0	0	0	12	1	0	0	0	0	0	1	0	0	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3;NA;bacterium Ellin516
forward_16S_642	0	0	0	0	12	0	0	0	0	0	0	2	0	0	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobia subdivision 3;;
forward_16S_643	0	0	0	0	8	5	0	0	0	0	0	1	0	0	Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;;
forward_16S_644	0	0	0	0	1	0	0	8	0	0	0	0	0	5	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
forward_16S_645	0	0	0	0	0	0	14	0	0	0	0	0	0	0	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;;
forward_16S_646	0	0	0	0	0	0	14	0	0	0	0	0	0	0	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus;
forward_16S_647	0	0	0	0	0	0	0	14	0	0	0	0	0	0	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;
forward_16S_648	0	0	0	0	0	0	0	14	0	0	0	0	0	0	Proteobacteria;Betaproteobacteria;;;;
forward_16S_649	12	0	1	0	0	0	0	0	0	0	0	0	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_650	6	0	2	0	2	0	0	0	0	0	2	0	0	1	Planctomycetes;Planctomycetia;Planctomycetales;NA;NA;metal-contaminated soil clone K20-75
forward_16S_651	6	1	2	0	0	0	0	0	2	0	1	0	0	1	Proteobacteria;Alphaproteobacteria;;;;
forward_16S_652	5	0	2	0	0	0	0	0	0	0	3	3	0	0	Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Sulfurospirillum;Thermobaculum sp. enrichment culture clone VanCtr100
forward_16S_653	5	0	0	0	4	0	0	0	0	0	3	1	0	0	Verrucomicrobia;Spartobacteria;;;;
forward_16S_654	5	0	0	0	0	0	0	0	0	0	4	2	2	0	Verrucomicrobia;Spartobacteria;;;;
forward_16S_655	5	0	1	0	0	0	1	0	1	0	1	0	4	0	Acidobacteria;Blastocatellia;;Pyrinomonadaceae;Brevitalea;Brevitalea deliciosa
forward_16S_656	4	0	4	1	0	0	0	0	1	0	2	0	1	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_657	3	0	1	3	0	0	2	0	1	0	0	1	1	1	Planctomycetes;Planctomycetia;Planctomycetales;;;
forward_16S_658	3	0	0	6	0	2	0	0	0	0	0	0	0	2	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea;Flavitalea sp.
forward_16S_659	3	0	0	1	2	0	2	1	1	0	1	2	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_660	3	0	1	0	0	0	7	0	0	0	2	0	0	0	
forward_16S_661	3	0	2	1	0	0	4	0	0	1	2	0	0	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;Limnobacter sp. sp. EC-HK119
forward_16S_662	2	0	4	0	5	0	0	0	0	0	1	0	1	0	Proteobacteria;Deltaproteobacteria;Myxococcales;;;
forward_16S_663	2	0	2	0	0	0	5	0	0	0	2	0	2	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_664	2	0	1	0	0	0	6	0	1	0	1	2	0	0	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium japonicum
forward_16S_665	2	3	0	0	0	5	0	0	0	2	1	0	0	0	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
forward_16S_666	2	0	2	2	0	0	3	0	0	0	2	0	2	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_667	2	0	0	2	0	0	3	2	1	1	0	0	0	2	Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;
forward_16S_668	2	0	1	0	0	0	8	0	0	0	0	0	2	0	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;
forward_16S_669	2	0	1	0	3	4	1	0	0	0	1	1	0	0	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;
forward_16S_670	2	0	2	0	0	0	1	7	1	0	0	0	0	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;;
forward_16S_671	1	0	0	1	0	0	11	0	0	0	0	0	0	0	Planctomycetes;Planctomycetia;Planctomycetales;;;
forward_16S_672	1	0	2	2	3	0	1	0	0	0	4	0	0	0	Planctomycetes;Planctomycetia;;;;
forward_16S_673	1	0	5	5	0	0	2	0	0	0	0	0	0	0	Acidobacteria;;;;Luteitalea;Luteitalea pratensis
forward_16S_674	1	0	2	5	0	0	1	0	1	0	1	0	1	1	Verrucomicrobia;Spartobacteria;;;;
forward_16S_675	1	1	0	3	2	4	0	0	1	0	0	1	0	0	Verrucomicrobia;Spartobacteria;NA;NA;NA;bacterium Ellin506
forward_16S_676	1	0	3	2	0	0	0	0	0	3	0	0	4	0	Verrucomicrobia;Spartobacteria;;;;
forward_16S_677	1	0	0	0	0	0	2	0	0	0	0	0	10	0	Verrucomicrobia;Spartobacteria;;;;
forward_16S_678	1	1	3	1	2	1	0	0	0	2	0	0	1	1	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;
forward_16S_679	1	1	2	2	0	0	5	0	1	0	0	0	0	1	Proteobacteria;Alphaproteobacteria;;;;
forward_16S_680	1	4	1	1	0	1	1	3	0	0	0	1	0	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;
forward_16S_681	1	1	6	4	0	0	0	0	0	0	1	0	0	0	Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
forward_16S_682	0	8	2	0	0	0	1	0	2	0	0	0	0	0	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_683	0	7	1	2	0	0	1	0	1	1	0	0	0	0	Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;
forward_16S_684	0	6	0	0	0	0	1	4	0	1	0	0	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
forward_16S_685	0	5	0	3	0	1	2	0	0	0	0	1	0	1	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;
forward_16S_686	0	3	0	1	0	0	7	1	1	0	0	0	0	0	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;Segetibacter koreensis
forward_16S_687	0	1	0	1	1	8	0	0	0	0	0	1	1	0	Verrucomicrobia;Spartobacteria;NA;NA;NA;uncultivated soil bacterium clone C019
