Dataset comparison	Lat	Lon
sample_17_OTUtable vs sample_18_OTUtable	34.09805556	-118.4727778
	34.0662	-118.4907
	34.09222222	-118.4727778
	34.06499	-118.44158
	34.06611111	-118.4405556
	34.09751	-118.47224
	34.09777	-118.47262
	34.09818	-118.47309
sample_17_OTUtable vs sample_19_OTUtable	34.094444	-118.4736111
	34.0987	-118.47
	34.0948	-118.4729
	34.09222222	-118.4727778
	34.06499	-118.44158
	34.06611111	-118.4405556
	34.09751	-118.47224
	34.09777	-118.47262
	34.09818	-118.47309
sample_18_OTUtable vs sample_19_OTUtable	34.09222222	-118.4727778
	34.06499	-118.44158
	34.06611111	-118.4405556
	34.09751	-118.47224
	34.09777	-118.47262
	34.09818	-118.47309
all datasets	34.09222222	-118.4727778
	34.06499	-118.44158
	34.06611111	-118.4405556
	34.09751	-118.47224
	34.09777	-118.47262
	34.09818	-118.47309
